4.326765,-2.098221,1.324263
4.367438,-2.062006,1.280837
4.381718,-2.046980,1.250765
4.456088,-1.980984,1.194045
4.535436,-1.845951,1.363475
4.600656,-1.782514,1.314421
4.681723,-1.702691,1.239089
4.746892,-1.636790,1.179969
4.822774,-1.559061,1.112992
4.916733,-1.483826,1.055963
5.001779,-1.416961,0.999450
4.994634,-1.355988,1.187453
5.066912,-1.294642,1.137581
5.137760,-1.238975,1.108074
4.976646,-1.472950,1.051229
5.049546,-1.414011,1.009000
5.117616,-1.361173,0.956394
5.175541,-1.316829,0.915027
5.223184,-1.280645,0.882494
5.272802,-1.243670,0.852806
5.324960,-1.206410,0.818007
5.359768,-1.182659,0.798390
5.396280,-1.158266,0.776168
5.422194,-1.142342,0.759704
5.468283,-1.118589,0.736145
