-1.293370,-2.099937
-1.178639,-2.100089
-1.132233,-2.100028
-1.075701,-2.099737
-1.019744,-2.099366
-0.973552,-2.099058
-0.937197,-2.098782
-0.881532,-2.097932
-0.827560,-2.097016
-0.771431,-2.096417
-0.706025,-2.095067
-0.661788,-2.094167
-0.607770,-2.093110
-0.553759,-2.091967
-0.507853,-2.090979
-0.452223,-2.089577
-0.386884,-2.087944
-0.309797,-2.085962
-0.271858,-2.085065
-0.223875,-2.084726
-0.175431,-2.085378
-0.117235,-2.086837
-0.069355,-2.088156
-0.011660,-2.090679
0.046421,-2.094028
0.094601,-2.097489
0.152399,-2.102051
0.200139,-2.106300
0.248192,-2.111099
0.315100,-2.118640
0.362505,-2.124628
0.410324,-2.131297
0.476647,-2.141191
0.523780,-2.148866
0.580966,-2.159360
0.618913,-2.166575
0.685423,-2.179934
0.722629,-2.187361
0.769807,-2.197683
0.825738,-2.210358
0.872177,-2.221564
0.918545,-2.233585
0.983327,-2.251225
1.038488,-2.267127
1.084814,-2.281465
1.140260,-2.299118
1.195430,-2.317305
1.240606,-2.332593
1.303393,-2.354301
1.374031,-2.378574
1.416754,-2.393952
1.484037,-2.418796
1.533526,-2.436852
1.594782,-2.458289
1.648405,-2.476656
1.699376,-2.494334
1.742535,-2.509902
1.784944,-2.524633
1.816844,-2.533893
1.855718,-2.545147
1.893814,-2.555509
1.946460,-2.568310
1.986796,-2.576527
2.029186,-2.585333
2.078938,-2.595380
2.126316,-2.605402
2.186620,-2.611334
2.254307,-2.616918
2.311565,-2.622340
2.368895,-2.628508
2.429992,-2.636892
2.477284,-2.641942
2.525598,-2.646618
2.583643,-2.653089
2.631772,-2.659340
2.699304,-2.666970
2.738007,-2.671135
2.786229,-2.675763
2.844171,-2.680409
2.911976,-2.684920
2.960476,-2.687561
3.028476,-2.690524
3.085595,-2.692576
3.122526,-2.693758
3.184801,-2.694584
3.218853,-2.694614
3.268842,-2.694215
3.309227,-2.691589
3.348457,-2.687119
3.385629,-2.681545
3.442603,-2.668714
3.480705,-2.658387
3.523114,-2.646347
3.556416,-2.635902
3.586619,-2.621678
3.642675,-2.591735
3.693726,-2.562728
3.747933,-2.531823
3.784902,-2.509978
3.840543,-2.470260
3.888031,-2.436155
3.935193,-2.401565
3.974283,-2.372439
4.020833,-2.337081
4.074646,-2.295173
4.112956,-2.265051
4.166042,-2.222209
4.226394,-2.172833
4.271126,-2.135116
4.322845,-2.090604
4.359541,-2.058482
4.410348,-2.012919
4.453595,-1.973484
4.489380,-1.940322
4.531523,-1.900588
4.578561,-1.854813
4.634370,-1.800856
4.683074,-1.752940
4.737886,-1.697958
4.782160,-1.652188
4.828815,-1.607020
4.878834,-1.561248
4.920124,-1.523781
4.970451,-1.479163
5.016226,-1.439789
5.056796,-1.407004
5.098817,-1.374458
5.136872,-1.345334
5.166897,-1.322328
5.198562,-1.298184
5.226239,-1.277127
5.247670,-1.261337
5.267653,-1.246766
5.279142,-1.238245
5.306163,-1.219042
5.354987,-1.186608
5.392391,-1.165720
5.427706,-1.147077
5.453035,-1.135038
5.487003,-1.121150
5.520906,-1.107142
5.568426,-1.086104
5.596927,-1.072901
5.649630,-1.055330
5.684608,-1.043891
5.719666,-1.032170
5.761778,-1.017827
